concat_qdt, String_tipo, tempo, letras_qtd
100000,String,1107,1
100000,StringBuilder,2,1
100000,StringBuffer,3,1
200000,String,3639,1
200000,StringBuilder,4,1
200000,StringBuffer,3,1
300000,String,8329,1
300000,StringBuilder,7,1
300000,StringBuffer,10,1
400000,String,14573,1
400000,StringBuilder,7,1
400000,StringBuffer,6,1
500000,String,23511,1
500000,StringBuilder,10,1
500000,StringBuffer,8,1
600000,String,35485,1
600000,StringBuilder,10,1
600000,StringBuffer,10,1
800000,String,68361,1
800000,StringBuilder,14,1
800000,StringBuffer,12,1
700000,String,50723,1
700000,StringBuilder,12,1
700000,StringBuffer,9,1
1000000,String,107807,1
1000000,StringBuilder,15,1
1000000,StringBuffer,14,1
100000,String,2513,2
100000,StringBuilder,1,2
100000,StringBuffer,2,2
200000,String,7779,2
200000,StringBuilder,4,2
200000,StringBuffer,3,2
300000,String,17591,2
300000,StringBuilder,6,2
300000,StringBuffer,6,2
400000,String,33342,2
400000,StringBuilder,7,2
400000,StringBuffer,7,2
500000,String,54850,2
500000,StringBuilder,10,2
500000,StringBuffer,8,2
600000,String,80969,2
600000,StringBuilder,18,2
600000,StringBuffer,15,2
700000,String,111406,2
700000,StringBuilder,12,2
700000,StringBuffer,9,2
800000,String,147096,2
800000,StringBuilder,13,2
800000,StringBuffer,12,2
900000,String,186707,2
900000,StringBuilder,13,2
900000,StringBuffer,14,2
1000000,String,232256,2
1000000,StringBuilder,17,2
1000000,StringBuffer,14,2
"900000","String","135822","1"
"900000","StringBuilder","36","1"
"900000","StringBuffer","28","1"
"100000","String","5131","3"
"100000","StringBuilder","3","3"
"100000","StringBuffer","5","3"
"200000","String","19704","3"
"200000","StringBuilder","12","3"
"200000","StringBuffer","14","3"
"300000","String","45836","3"
"300000","StringBuilder","15","3"
"300000","StringBuffer","11","3"
"400000","String","83332","3"
"400000","StringBuilder","15","3"
"400000","StringBuffer","15","3"
"500000","String","132512","3"
"500000","StringBuilder","19","3"
"500000","StringBuffer","21","3"
"600000","String","191971","3"
"600000","StringBuilder","20","3"
"600000","StringBuffer","20","3"
"700000","String","261656","3"
"700000","StringBuilder","23","3"
"700000","StringBuffer","20","3"
"800000","String","341183","3"
"800000","StringBuilder","32","3"
"800000","StringBuffer","29","3"
"900000","String","430996","3"
"900000","StringBuilder","27","3"
"900000","StringBuffer","29","3"
"1000000","String","368313","3"
"1000000","StringBuilder","16","3"
"1000000","StringBuffer","37","3"
"100000","String","6286","4"
"100000","StringBuilder","2","4"
"100000","StringBuffer","2","4"
"200000","String","26067","4"
"200000","StringBuilder","5","4"
"200000","StringBuffer","20","4"
"300000","String","49887","4"
"300000","StringBuilder","7","4"
"300000","StringBuffer","6","4"
"400000","String","90684","4"
"400000","StringBuilder","8","4"
"400000","StringBuffer","25","4"
"500000","String","152183","4"
"500000","StringBuilder","9","4"
"500000","StringBuffer","9","4"
"600000","String","229876","4"
"600000","StringBuilder","31","4"
"600000","StringBuffer","16","4"
"700000","String","500234","4"
"700000","StringBuilder","28","4"
"700000","StringBuffer","21","4"
"800000","String","294186","4"
"800000","StringBuilder","13","4"
"800000","StringBuffer","16","4"
"900000","String","380038","4"
"900000","StringBuilder","14","4"
"900000","StringBuffer","13","4"
"1000000","String","476775","4"
"1000000","StringBuilder","15","4"
"1000000","StringBuffer","14","4"
